HL70126=RD,Records,HL70126
ID TYPE=GI ,Guarantor internal identifier ,HL70203
ID TYPE=HC ,Health Card Number ,HL70203
ID TYPE=IND ,Indigenous/Aboriginal ,HL70203
ID TYPE=JHN ,Jurisdictional health number (Canada) ,HL70203
ID TYPE=LI ,Labor and industries number ,HL70203
ID TYPE=LN ,License number ,HL70203
ID TYPE=PE ,Living Subject Enterprise Number ,HL70203
ID TYPE=LR ,Local Registry ID ,HL70203
ID TYPE=MS ,MasterCard ,HL70203
ID TYPE=MD ,Medical License number ,HL70203
ID TYPE=MR ,Medical record number ,HL70203
ID TYPE=UPIN ,Medicare/CMS (formerly HCFA)_s Universal Physician Identification numbers ,HL70203
ID TYPE=MB ,Member Number ,HL70203
ID TYPE=MCN ,Microchip Number ,HL70203
ID TYPE=MI ,Military ID number ,HL70203
ID TYPE=NE ,National employer identifier ,HL70203
ID TYPE=NH ,National Health Plan Identifier ,HL70203
ID TYPE=NII ,National Insurance Organization Identifier ,HL70203
ID TYPE=NIIP ,National Insurance Payor Identifier (Payor) ,HL70203
ID TYPE=NNMEX,National Person Identifier for Mexico,HL70203
ID TYPE=NNCAN,National Person Identifier for Canada,HL70203
ID TYPE=NPI ,National provider identifier ,HL70203
ID TYPE=NI ,National unique individual identifier ,HL70203
ID TYPE=NP ,Nurse practitioner number ,HL70203
ID TYPE=OD ,Optometrist license number ,HL70203
ID TYPE=XX ,Organization identifier ,HL70203
ID TYPE=DO ,Osteopathic License number ,HL70203
ID TYPE=PPN ,Passport number ,HL70203
ID TYPE=PT ,Patient external identifier ,HL70203
ID TYPE=PI ,Patient internal identifier ,HL70203
ID TYPE=MA ,Patient Medicaid number ,HL70203
ID TYPE=MC ,Patient's Medicare number ,HL70203
ID TYPE=PCN ,Penitentiary/correctional institution Number ,HL70203
ID TYPE=PEN ,Pension Number ,HL70203
ID TYPE=PRC ,Permanent Resident Card Number ,HL70203
ID TYPE=PN ,Person number ,HL70203
ID TYPE=RPH ,Pharmacist license number ,HL70203
ID TYPE=PA ,Physician Assistant number ,HL70203
ID TYPE=DPM ,Podiatrist license number ,HL70203
ID TYPE=MCD ,Practitioner Medicaid number ,HL70203
ID TYPE=MCR ,Practitioner Medicare number ,HL70203
ID TYPE=PRN ,Provider number ,HL70203
ID TYPE=QA ,QA number ,HL70203
ID TYPE=RR ,Railroad Retirement number ,HL70203
ID TYPE=RRI ,Regional registry ID ,HL70203
ID TYPE=RN ,Registered Nurse Number ,HL70203
ID TYPE=RI ,Resource identifier ,HL70203
ID TYPE=SS ,Social Security number ,HL70203
ID TYPE=SPM ,Specimen Identifier ,HL70203
ID TYPE=SID ,Specimen Identifier ,HL70203
ID TYPE=SL ,State license ,HL70203
ID TYPE=SR ,State registry ID ,HL70203
ID TYPE=SN ,Subscriber Number ,HL70203
ID TYPE=TAX ,Tax ID number ,HL70203
ID TYPE=ANT ,Temporary Account Number ,HL70203
ID TYPE=PNT ,Temporary Living Subject Number ,HL70203
ID TYPE=MRT ,Temporary Medical Record Number ,HL70203
ID TYPE=TN ,Treaty Number/ (Canada) ,HL70203
ID TYPE=U ,Unspecified identifier ,HL70203
ID TYPE=VS ,VISA ,HL70203
ID TYPE=VN ,Visit number ,HL70203
ID TYPE=WC ,WIC identifier ,HL70203
ID TYPE=WCN ,Workers_ Comp Number ,HL70203
PUBLICITY CODE=01,No reminder/recall,HL70215
PUBLICITY CODE=02,Reminder/recall - any method,HL70215
PUBLICITY CODE=03,Reminder/recall - no calls,HL70215
PUBLICITY CODE=04,Reminder only - any method,HL70215
PUBLICITY CODE=05,Reminder only - no calls,HL70215
PUBLICITY CODE=06,Recall only - any method,HL70215
PUBLICITY CODE=07,Recall only - no calls,HL70215
PUBLICITY CODE=08,Reminder/recall - to provider,HL70215
PUBLICITY CODE=09,Reminder to provider,HL70215
PUBLICITY CODE=10,Only reminder to provider, no recall,HL70215
PUBLICITY CODE=11,Recall to provider,HL70215
PUBLICITY CODE=12,Only recall to provider, no reminder,HL70215
COUNTY CODE=45001 ,Abbeville ,HL70289
COUNTY CODE=45001,Abbeville, SC ,SC
COUNTY CODE=22001,Acadia, LA ,LA
COUNTY CODE=51001,Accomack, VA ,VA
COUNTY CODE=16001,Ada, ID ,ID
COUNTY CODE=21001,Adair, KY ,KY
COUNTY CODE=19001,Adair, IA ,IA
COUNTY CODE=29001,Adair, MO ,MO
COUNTY CODE=40001,Adair, OK ,OK
COUNTY CODE=38001,Adams, ND ,ND
COUNTY CODE=39001,Adams, OH ,OH
COUNTY CODE=31001,Adams, NE ,NE
COUNTY CODE=42001,Adams, PA ,PA
COUNTY CODE=19003,Adams, IA ,IA
COUNTY CODE=28001,Adams, MS ,MS
COUNTY CODE=16003,Adams, ID ,ID
LANGUAGE FULL=abk,Abkhazian,HL70296
LANGUAGE FULL=ace,Achinese,HL70296
LANGUAGE FULL=ach,Acoli,HL70296
LANGUAGE FULL=ada,Adangme,HL70296
LANGUAGE FULL=ady,Adyghe; Adygei,HL70296
LANGUAGE FULL=aar,Afar,HL70296
LANGUAGE FULL=afh,Afrihili,HL70296
LANGUAGE FULL=afr,Afrikaans,HL70296
LANGUAGE FULL=afa,Afro-Asiatic (Other),HL70296
LANGUAGE FULL=ain,Ainu,HL70296
LANGUAGE FULL=aka,Akan,HL70296
LANGUAGE FULL=akk,Akkadian,HL70296
LANGUAGE FULL=alb,Albanian,HL70296
LANGUAGE FULL=ale,Aleut,HL70296
LANGUAGE FULL=alg,Algonquian languages,HL70296
LANGUAGE FULL=tut,Altaic (Other),HL70296
LANGUAGE FULL=amh,Amharic,HL70296
LANGUAGE FULL=anp,Angika,HL70296
LANGUAGE FULL=apa,Apache languages,HL70296
LANGUAGE FULL=ara,Arabic,HL70296
LANGUAGE FULL=arg,Aragonese,HL70296
LANGUAGE FULL=arp,Arapaho,HL70296
LANGUAGE FULL=arw,Arawak,HL70296
LANGUAGE FULL=arm,Armenian,HL70296
LANGUAGE FULL=rup,Aromanian; Arumanian; Macedo-Romanian,HL70296
LANGUAGE FULL=art,Artificial (Other),HL70296
LANGUAGE FULL=asm,Assamese,HL70296
LANGUAGE FULL=ast,Asturian; Bable; Leonese; Asturleonese,HL70296
LANGUAGE FULL=ath,Athapascan languages,HL70296
LANGUAGE FULL=aus,Australian languages,HL70296
LANGUAGE FULL=map,Austronesian (Other),HL70296
LANGUAGE FULL=ava,Avaric,HL70296
LANGUAGE FULL=ave,Avestan,HL70296
LANGUAGE FULL=awa,Awadhi,HL70296
LANGUAGE FULL=aym,Aymara,HL70296
LANGUAGE FULL=aze,Azerbaijani,HL70296
LANGUAGE FULL=ban,Balinese,HL70296
LANGUAGE FULL=bat,Baltic (Other),HL70296
LANGUAGE FULL=bal,Baluchi,HL70296
LANGUAGE FULL=bam,Bambara,HL70296
LANGUAGE FULL=bai,Bamileke languages,HL70296
LANGUAGE FULL=bad,Banda languages,HL70296
LANGUAGE FULL=bnt,Bantu (Other),HL70296
LANGUAGE FULL=bas,Basa,HL70296
LANGUAGE FULL=bak,Bashkir,HL70296
LANGUAGE FULL=baq,Basque,HL70296
LANGUAGE FULL=btk,Batak languages,HL70296
LANGUAGE FULL=bej,Beja; Bedawiyet,HL70296
LANGUAGE FULL=bel,Belarusian,HL70296
LANGUAGE FULL=bem,Bemba,HL70296
LANGUAGE FULL=ben,Bengali,HL70296
LANGUAGE FULL=ber,Berber (Other),HL70296
LANGUAGE FULL=bho,Bhojpuri,HL70296
LANGUAGE FULL=bih,Bihari,HL70296
LANGUAGE FULL=bik,Bikol,HL70296
LANGUAGE FULL=bin,Bini; Edo,HL70296
LANGUAGE FULL=bis,Bislama,HL70296
LANGUAGE FULL=byn,Blin; Bilin,HL70296
LANGUAGE FULL=zbl,Blissymbols; Blissymbolics; Bliss,HL70296
LANGUAGE FULL=nob,Bokmål, Norwegian; Norwegian Bokmål,HL70296
LANGUAGE FULL=bos,Bosnian,HL70296
LANGUAGE FULL=bra,Braj,HL70296
LANGUAGE FULL=bre,Breton,HL70296
LANGUAGE FULL=bug,Buginese,HL70296
LANGUAGE FULL=bul,Bulgarian,HL70296
LANGUAGE FULL=bua,Buriat,HL70296
LANGUAGE FULL=bur,Burmese,HL70296
LANGUAGE FULL=cad,Caddo,HL70296
LANGUAGE FULL=cat,Catalan; Valencian,HL70296
LANGUAGE FULL=cau,Caucasian (Other),HL70296
LANGUAGE FULL=ceb,Cebuano,HL70296
LANGUAGE FULL=cel,Celtic (Other),HL70296
LANGUAGE FULL=cai,Central American Indian (Other),HL70296
LANGUAGE FULL=khm,Central Khmer,HL70296
LANGUAGE FULL=chg,Chagatai,HL70296
LANGUAGE FULL=cmc,Chamic languages,HL70296
LANGUAGE FULL=cha,Chamorro,HL70296
LANGUAGE FULL=che,Chechen,HL70296
LANGUAGE FULL=chr,Cherokee,HL70296
LANGUAGE FULL=chy,Cheyenne,HL70296
LANGUAGE FULL=chb,Chibcha,HL70296
LANGUAGE FULL=nya,Chichewa; Chewa; Nyanja,HL70296
LANGUAGE FULL=chi,Chinese,HL70296
LANGUAGE FULL=chn,Chinook jargon,HL70296
LANGUAGE FULL=chp,Chipewyan; Dene Suline,HL70296
LANGUAGE FULL=cho,Choctaw,HL70296
LANGUAGE FULL=chu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,HL70296
LANGUAGE FULL=chk,Chuukese,HL70296
LANGUAGE FULL=chv,Chuvash,HL70296
LANGUAGE FULL=nwc,Classical Newari; Old Newari; Classical Nepal Bhasa,HL70296
LANGUAGE FULL=syc,Classical Syriac,HL70296
LANGUAGE FULL=cop,Coptic,HL70296
LANGUAGE FULL=cor,Cornish,HL70296
LANGUAGE FULL=cos,Corsican,HL70296
LANGUAGE FULL=cre,Cree,HL70296
LANGUAGE FULL=mus,Creek,HL70296
LANGUAGE FULL=crp,Creoles and pidgins (Other),HL70296
LANGUAGE FULL=cpe,Creoles and pidgins, English based (Other),HL70296
LANGUAGE FULL=cpf,Creoles and pidgins, French-based (Other),HL70296
LANGUAGE FULL=cpp,Creoles and pidgins, Portuguese-based (Other),HL70296
LANGUAGE FULL=crh,Crimean Tatar; Crimean Turkish,HL70296
LANGUAGE FULL=hrv,Croatian,HL70296
LANGUAGE FULL=cus,Cushitic (Other),HL70296
LANGUAGE FULL=cze,Czech,HL70296
LANGUAGE FULL=dak,Dakota,HL70296
LANGUAGE FULL=dan,Danish,HL70296
LANGUAGE FULL=dar,Dargwa,HL70296
LANGUAGE FULL=del,Delaware,HL70296
LANGUAGE FULL=din,Dinka,HL70296
LANGUAGE FULL=div,Divehi; Dhivehi; Maldivian,HL70296
LANGUAGE FULL=doi,Dogri,HL70296
LANGUAGE FULL=dgr,Dogrib,HL70296
LANGUAGE FULL=dra,Dravidian (Other),HL70296
LANGUAGE FULL=dua,Duala,HL70296
LANGUAGE FULL=dum,Dutch, Middle (ca.1050-1350),HL70296
LANGUAGE FULL=dut,Dutch; Flemish,HL70296
LANGUAGE FULL=dyu,Dyula,HL70296
LANGUAGE FULL=dzo,Dzongkha,HL70296
LANGUAGE FULL=frs,Eastern Frisian,HL70296
LANGUAGE FULL=efi,Efik,HL70296
LANGUAGE FULL=egy,Egyptian (Ancient),HL70296
LANGUAGE FULL=eka,Ekajuk,HL70296
LANGUAGE FULL=elx,Elamite,HL70296
LANGUAGE FULL=eng,English,HL70296
LANGUAGE FULL=enm,English, Middle (1100-1500),HL70296
LANGUAGE FULL=ang,English, Old (ca.450-1100),HL70296
LANGUAGE FULL=myv,Erzya,HL70296
LANGUAGE FULL=epo,Esperanto,HL70296
LANGUAGE FULL=est,Estonian,HL70296
LANGUAGE FULL=ewe,Ewe,HL70296
LANGUAGE FULL=ewo,Ewondo,HL70296
LANGUAGE FULL=fan,Fang,HL70296
LANGUAGE FULL=fat,Fanti,HL70296
LANGUAGE FULL=fao,Faroese,HL70296
LANGUAGE FULL=fij,Fijian,HL70296
LANGUAGE FULL=fil,Filipino; Pilipino,HL70296
LANGUAGE FULL=fin,Finnish,HL70296
LANGUAGE FULL=fiu,Finno-Ugrian (Other),HL70296
LANGUAGE FULL=fon,Fon,HL70296
LANGUAGE FULL=fre,French,HL70296
LANGUAGE FULL=frm,French, Middle (ca.1400-1600),HL70296
LANGUAGE FULL=fro,French, Old (842-ca.1400),HL70296
LANGUAGE FULL=fur,Friulian,HL70296
LANGUAGE FULL=ful,Fulah,HL70296
LANGUAGE FULL=gaa,Ga,HL70296
LANGUAGE FULL=gla,Gaelic; Scottish Gaelic,HL70296
LANGUAGE FULL=car,Galibi Carib,HL70296
LANGUAGE FULL=glg,Galician,HL70296
LANGUAGE FULL=lug,Ganda,HL70296
LANGUAGE FULL=gay,Gayo,HL70296
LANGUAGE FULL=gba,Gbaya,HL70296
LANGUAGE FULL=gez,Geez,HL70296
LANGUAGE FULL=geo,Georgian,HL70296
LANGUAGE FULL=ger,German,HL70296
LANGUAGE FULL=gmh,German, Middle High (ca.1050-1500),HL70296
LANGUAGE FULL=goh,German, Old High (ca.750-1050),HL70296
LANGUAGE FULL=gem,Germanic (Other),HL70296
LANGUAGE FULL=gil,Gilbertese,HL70296
LANGUAGE FULL=gon,Gondi,HL70296
LANGUAGE FULL=gor,Gorontalo,HL70296
LANGUAGE FULL=got,Gothic,HL70296
LANGUAGE FULL=grb,Grebo,HL70296
LANGUAGE FULL=grc,Greek, Ancient (to 1453),HL70296
LANGUAGE FULL=gre,Greek, Modern (1453-),HL70296
LANGUAGE FULL=grn,Guarani,HL70296
LANGUAGE FULL=guj,Gujarati,HL70296
LANGUAGE FULL=gwi,Gwich'in,HL70296
LANGUAGE FULL=hai,Haida,HL70296
LANGUAGE FULL=hat,Haitian; Haitian Creole,HL70296
LANGUAGE FULL=hau,Hausa,HL70296
LANGUAGE FULL=haw,Hawaiian,HL70296
LANGUAGE FULL=heb,Hebrew,HL70296
LANGUAGE FULL=her,Herero,HL70296
LANGUAGE FULL=hil,Hiligaynon,HL70296
LANGUAGE FULL=him,Himachali,HL70296
LANGUAGE FULL=hin,Hindi,HL70296
LANGUAGE FULL=hmo,Hiri Motu,HL70296
LANGUAGE FULL=hit,Hittite,HL70296
LANGUAGE FULL=hmn,Hmong,HL70296
LANGUAGE FULL=hun,Hungarian,HL70296
LANGUAGE FULL=hup,Hupa,HL70296
LANGUAGE FULL=iba,Iban,HL70296
LANGUAGE FULL=ice,Icelandic,HL70296
LANGUAGE FULL=ido,Ido,HL70296
LANGUAGE FULL=ibo,Igbo,HL70296
LANGUAGE FULL=ijo,Ijo languages,HL70296
LANGUAGE FULL=ilo,Iloko,HL70296
LANGUAGE FULL=smn,Inari Sami,HL70296
LANGUAGE FULL=inc,Indic (Other),HL70296
LANGUAGE FULL=ine,Indo-European (Other),HL70296
LANGUAGE FULL=ind,Indonesian,HL70296
LANGUAGE FULL=inh,Ingush,HL70296
LANGUAGE FULL=ina,Interlingua (International Auxiliary Language Association),HL70296
LANGUAGE FULL=ile,Interlingue; Occidental,HL70296
LANGUAGE FULL=iku,Inuktitut,HL70296
LANGUAGE FULL=ipk,Inupiaq,HL70296
LANGUAGE FULL=ira,Iranian (Other),HL70296
LANGUAGE FULL=gle,Irish,HL70296
LANGUAGE FULL=mga,Irish, Middle (900-1200),HL70296
LANGUAGE FULL=sga,Irish, Old (to 900),HL70296
LANGUAGE FULL=iro,Iroquoian languages,HL70296
LANGUAGE FULL=ita,Italian,HL70296
LANGUAGE FULL=jpn,Japanese,HL70296
LANGUAGE FULL=jav,Javanese,HL70296
LANGUAGE FULL=jrb,Judeo-Arabic,HL70296
LANGUAGE FULL=jpr,Judeo-Persian,HL70296
LANGUAGE FULL=kbd,Kabardian,HL70296
LANGUAGE FULL=kab,Kabyle,HL70296
LANGUAGE FULL=kac,Kachin; Jingpho,HL70296
LANGUAGE FULL=kal,Kalaallisut; Greenlandic,HL70296
LANGUAGE FULL=xal,Kalmyk; Oirat,HL70296
LANGUAGE FULL=kam,Kamba,HL70296
LANGUAGE FULL=kan,Kannada,HL70296
LANGUAGE FULL=kau,Kanuri,HL70296
LANGUAGE FULL=krc,Karachay-Balkar,HL70296
LANGUAGE FULL=kaa,Kara-Kalpak,HL70296
LANGUAGE FULL=krl,Karelian,HL70296
LANGUAGE FULL=kar,Karen languages,HL70296
LANGUAGE FULL=kas,Kashmiri,HL70296
LANGUAGE FULL=csb,Kashubian,HL70296
LANGUAGE FULL=kaw,Kawi,HL70296
LANGUAGE FULL=kaz,Kazakh,HL70296
LANGUAGE FULL=kha,Khasi,HL70296
LANGUAGE FULL=khi,Khoisan (Other),HL70296
LANGUAGE FULL=kho,Khotanese,HL70296
LANGUAGE FULL=kik,Kikuyu; Gikuyu,HL70296
LANGUAGE FULL=kmb,Kimbundu,HL70296
LANGUAGE FULL=kin,Kinyarwanda,HL70296
LANGUAGE FULL=kir,Kirghiz; Kyrgyz,HL70296
LANGUAGE FULL=tlh,Klingon; tlhIngan-Hol,HL70296
LANGUAGE FULL=kom,Komi,HL70296
LANGUAGE FULL=kon,Kongo,HL70296
LANGUAGE FULL=kok,Konkani,HL70296
LANGUAGE FULL=kor,Korean,HL70296
LANGUAGE FULL=kos,Kosraean,HL70296
LANGUAGE FULL=kpe,Kpelle,HL70296
LANGUAGE FULL=kro,Kru languages,HL70296
LANGUAGE FULL=kua,Kuanyama; Kwanyama,HL70296
LANGUAGE FULL=kum,Kumyk,HL70296
LANGUAGE FULL=kur,Kurdish,HL70296
LANGUAGE FULL=kru,Kurukh,HL70296
LANGUAGE FULL=kut,Kutenai,HL70296
LANGUAGE FULL=lad,Ladino,HL70296
LANGUAGE FULL=lah,Lahnda,HL70296
LANGUAGE FULL=lam,Lamba,HL70296
LANGUAGE FULL=day,Land Dayak languages,HL70296
LANGUAGE FULL=lao,Lao,HL70296
LANGUAGE FULL=lat,Latin,HL70296
LANGUAGE FULL=lav,Latvian,HL70296
LANGUAGE FULL=lez,Lezghian,HL70296
LANGUAGE FULL=lim,Limburgan; Limburger; Limburgish,HL70296
LANGUAGE FULL=lin,Lingala,HL70296
LANGUAGE FULL=lit,Lithuanian,HL70296
LANGUAGE FULL=jbo,Lojban,HL70296
LANGUAGE FULL=nds,Low German; Low Saxon; German, Low; Saxon, Low,HL70296
LANGUAGE FULL=dsb,Lower Sorbian,HL70296
LANGUAGE FULL=loz,Lozi,HL70296
LANGUAGE FULL=lub,Luba-Katanga,HL70296
LANGUAGE FULL=lua,Luba-Lulua,HL70296
LANGUAGE FULL=lui,Luiseno,HL70296
LANGUAGE FULL=smj,Lule Sami,HL70296
LANGUAGE FULL=lun,Lunda,HL70296
LANGUAGE FULL=luo,Luo (Kenya and Tanzania),HL70296
LANGUAGE FULL=lus,Lushai,HL70296
LANGUAGE FULL=ltz,Luxembourgish; Letzeburgesch,HL70296
LANGUAGE FULL=mac,Macedonian,HL70296
LANGUAGE FULL=mad,Madurese,HL70296
LANGUAGE FULL=mag,Magahi,HL70296
LANGUAGE FULL=mai,Maithili,HL70296
LANGUAGE FULL=mak,Makasar,HL70296
LANGUAGE FULL=mlg,Malagasy,HL70296
LANGUAGE FULL=may,Malay,HL70296
LANGUAGE FULL=mal,Malayalam,HL70296
LANGUAGE FULL=mlt,Maltese,HL70296
LANGUAGE FULL=mnc,Manchu,HL70296
LANGUAGE FULL=mdr,Mandar,HL70296
LANGUAGE FULL=man,Mandingo,HL70296
LANGUAGE FULL=mni,Manipuri,HL70296
LANGUAGE FULL=mno,Manobo languages,HL70296
LANGUAGE FULL=glv,Manx,HL70296
LANGUAGE FULL=mao,Maori,HL70296
LANGUAGE FULL=arn,Mapudungun; Mapuche,HL70296
LANGUAGE FULL=mar,Marathi,HL70296
LANGUAGE FULL=chm,Mari,HL70296
LANGUAGE FULL=mah,Marshallese,HL70296
LANGUAGE FULL=mwr,Marwari,HL70296
LANGUAGE FULL=mas,Masai,HL70296
LANGUAGE FULL=myn,Mayan languages,HL70296
LANGUAGE FULL=men,Mende,HL70296
LANGUAGE FULL=mic,Mi'kmaq; Micmac,HL70296
LANGUAGE FULL=min,Minangkabau,HL70296
LANGUAGE FULL=mwl,Mirandese,HL70296
LANGUAGE FULL=moh,Mohawk,HL70296
LANGUAGE FULL=mdf,Moksha,HL70296
LANGUAGE FULL=mol,Moldavian; Moldovan,HL70296
LANGUAGE FULL=lol,Mongo,HL70296
LANGUAGE FULL=mon,Mongolian,HL70296
LANGUAGE FULL=mkh,Mon-Khmer (Other),HL70296
LANGUAGE FULL=mos,Mossi,HL70296
LANGUAGE FULL=mul,Multiple languages,HL70296
LANGUAGE FULL=mun,Munda languages,HL70296
LANGUAGE FULL=nah,Nahuatl languages,HL70296
LANGUAGE FULL=nau,Nauru,HL70296
LANGUAGE FULL=nav,Navajo; Navaho,HL70296
LANGUAGE FULL=nde,Ndebele, North; North Ndebele,HL70296
LANGUAGE FULL=nbl,Ndebele, South; South Ndebele,HL70296
LANGUAGE FULL=ndo,Ndonga,HL70296
LANGUAGE FULL=nap,Neapolitan,HL70296
LANGUAGE FULL=new,Nepal Bhasa; Newari,HL70296
LANGUAGE FULL=nep,Nepali,HL70296
LANGUAGE FULL=nia,Nias,HL70296
LANGUAGE FULL=nic,Niger-Kordofanian (Other),HL70296
LANGUAGE FULL=ssa,Nilo-Saharan (Other),HL70296
LANGUAGE FULL=niu,Niuean,HL70296
LANGUAGE FULL=nqo,N'Ko,HL70296
LANGUAGE FULL=zxx,No linguistic content; Not applicable,HL70296
LANGUAGE FULL=nog,Nogai,HL70296
LANGUAGE FULL=non,Norse, Old,HL70296
LANGUAGE FULL=nai,North American Indian,HL70296
LANGUAGE FULL=frr,Northern Frisian,HL70296
LANGUAGE FULL=sme,Northern Sami,HL70296
LANGUAGE FULL=nor,Norwegian,HL70296
LANGUAGE FULL=nno,Norwegian Nynorsk; Nynorsk, Norwegian,HL70296
LANGUAGE FULL=nub,Nubian languages,HL70296
LANGUAGE FULL=nym,Nyamwezi,HL70296
LANGUAGE FULL=nyn,Nyankole,HL70296
LANGUAGE FULL=nyo,Nyoro,HL70296
LANGUAGE FULL=nzi,Nzima,HL70296
LANGUAGE FULL=oci,Occitan (post 1500); Provençal,HL70296
LANGUAGE FULL=arc,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),HL70296
LANGUAGE FULL=oji,Ojibwa,HL70296
LANGUAGE FULL=ori,Oriya,HL70296
LANGUAGE FULL=orm,Oromo,HL70296
LANGUAGE FULL=osa,Osage,HL70296
LANGUAGE FULL=oss,Ossetian; Ossetic,HL70296
LANGUAGE FULL=oto,Otomian languages,HL70296
LANGUAGE FULL=pal,Pahlavi,HL70296
LANGUAGE FULL=pau,Palauan,HL70296
LANGUAGE FULL=pli,Pali,HL70296
LANGUAGE FULL=pam,Pampanga; Kapampangan,HL70296
LANGUAGE FULL=pag,Pangasinan,HL70296
LANGUAGE FULL=pan,Panjabi; Punjabi,HL70296
LANGUAGE FULL=pap,Papiamento,HL70296
LANGUAGE FULL=paa,Papuan (Other),HL70296
LANGUAGE FULL=nso,Pedi; Sepedi; Northern Sotho,HL70296
LANGUAGE FULL=per,Persian,HL70296
LANGUAGE FULL=peo,Persian, Old (ca.600-400 B.C.),HL70296
LANGUAGE FULL=phi,Philippine (Other),HL70296
LANGUAGE FULL=phn,Phoenician,HL70296
LANGUAGE FULL=pon,Pohnpeian,HL70296
LANGUAGE FULL=pol,Polish,HL70296
LANGUAGE FULL=por,Portuguese,HL70296
LANGUAGE FULL=pra,Prakrit languages,HL70296
LANGUAGE FULL=pro,Provençal, Old (to 1500),HL70296
LANGUAGE FULL=pus,Pushto; Pashto,HL70296
LANGUAGE FULL=que,Quechua,HL70296
LANGUAGE FULL=raj,Rajasthani,HL70296
LANGUAGE FULL=rap,Rapanui,HL70296
LANGUAGE FULL=rar,Rarotongan; Cook Islands Maori,HL70296
LANGUAGE FULL=qaa-qtz,Reserved for local use,HL70296
LANGUAGE FULL=roa,Romance (Other),HL70296
LANGUAGE FULL=rum,Romanian,HL70296
LANGUAGE FULL=roh,Romansh,HL70296
LANGUAGE FULL=rom,Romany,HL70296
LANGUAGE FULL=run,Rundi,HL70296
LANGUAGE FULL=rus,Russian,HL70296
LANGUAGE FULL=sal,Salishan languages,HL70296
LANGUAGE FULL=sam,Samaritan Aramaic,HL70296
LANGUAGE FULL=smi,Sami languages (Other),HL70296
LANGUAGE FULL=smo,Samoan,HL70296
LANGUAGE FULL=sad,Sandawe,HL70296
LANGUAGE FULL=sag,Sango,HL70296
LANGUAGE FULL=san,Sanskrit,HL70296
LANGUAGE FULL=sat,Santali,HL70296
LANGUAGE FULL=srd,Sardinian,HL70296
LANGUAGE FULL=sas,Sasak,HL70296
LANGUAGE FULL=sco,Scots,HL70296
LANGUAGE FULL=sel,Selkup,HL70296
LANGUAGE FULL=sem,Semitic (Other),HL70296
LANGUAGE FULL=srp,Serbian,HL70296
LANGUAGE FULL=srr,Serer,HL70296
LANGUAGE FULL=shn,Shan,HL70296
LANGUAGE FULL=sna,Shona,HL70296
LANGUAGE FULL=iii,Sichuan Yi; Nuosu,HL70296
LANGUAGE FULL=scn,Sicilian,HL70296
LANGUAGE FULL=sid,Sidamo,HL70296
LANGUAGE FULL=sgn,Sign Languages,HL70296
LANGUAGE FULL=bla,Siksika,HL70296
LANGUAGE FULL=snd,Sindhi,HL70296
LANGUAGE FULL=sin,Sinhala; Sinhalese,HL70296
LANGUAGE FULL=sit,Sino-Tibetan (Other),HL70296
LANGUAGE FULL=sio,Siouan languages,HL70296
LANGUAGE FULL=sms,Skolt Sami,HL70296
LANGUAGE FULL=den,Slave (Athapascan),HL70296
LANGUAGE FULL=sla,Slavic (Other),HL70296
LANGUAGE FULL=slo,Slovak,HL70296
LANGUAGE FULL=slv,Slovenian,HL70296
LANGUAGE FULL=sog,Sogdian,HL70296
LANGUAGE FULL=som,Somali,HL70296
LANGUAGE FULL=son,Songhai languages,HL70296
LANGUAGE FULL=snk,Soninke,HL70296
LANGUAGE FULL=wen,Sorbian languages,HL70296
LANGUAGE FULL=sot,Sotho, Southern,HL70296
LANGUAGE FULL=sai,South American Indian (Other),HL70296
LANGUAGE FULL=alt,Southern Altai,HL70296
LANGUAGE FULL=sma,Southern Sami,HL70296
LANGUAGE FULL=spa,Spanish; Castilian,HL70296
LANGUAGE FULL=srn,Sranan Tongo,HL70296
LANGUAGE FULL=suk,Sukuma,HL70296
LANGUAGE FULL=sux,Sumerian,HL70296
LANGUAGE FULL=sun,Sundanese,HL70296
LANGUAGE FULL=sus,Susu,HL70296
LANGUAGE FULL=swa,Swahili,HL70296
LANGUAGE FULL=ssw,Swati,HL70296
LANGUAGE FULL=swe,Swedish,HL70296
LANGUAGE FULL=gsw,Swiss German; Alemannic; Alsatian,HL70296
LANGUAGE FULL=syr,Syriac,HL70296
LANGUAGE FULL=tgl,Tagalog,HL70296
LANGUAGE FULL=tah,Tahitian,HL70296
LANGUAGE FULL=tai,Tai (Other),HL70296
LANGUAGE FULL=tgk,Tajik,HL70296
LANGUAGE FULL=tmh,Tamashek,HL70296
LANGUAGE FULL=tam,Tamil,HL70296
LANGUAGE FULL=tat,Tatar,HL70296
LANGUAGE FULL=tel,Telugu,HL70296
LANGUAGE FULL=ter,Tereno,HL70296
LANGUAGE FULL=tet,Tetum,HL70296
LANGUAGE FULL=tha,Thai,HL70296
LANGUAGE FULL=tib,Tibetan,HL70296
LANGUAGE FULL=tig,Tigre,HL70296
LANGUAGE FULL=tir,Tigrinya,HL70296
LANGUAGE FULL=tem,Timne,HL70296
LANGUAGE FULL=tiv,Tiv,HL70296
LANGUAGE FULL=tli,Tlingit,HL70296
LANGUAGE FULL=tpi,Tok Pisin,HL70296
